dataset,row_id,cluster,query,obl_Observation,obl_Execution,obl_State,obl_Action,obl_Control,obl_Verification,capabilities,status,annotator_id,notes,model_reference_majority_status
gapbench,ambiguous-002,ambiguous,Unclear target 2: update whichever file is best and make the appropriate change.,,,,,,,,,,,clarify
gapbench,ambiguous-014,ambiguous,"Ambiguous repo request 14: fix the issue in the project, but I have not specified the file, error, or expected behavior.",,,,,,,,,,,clarify
gapbench,ambiguous-021,ambiguous,"Ambiguous data request 21: use the relevant dataset and produce the final result, but no dataset is named.",,,,,,,,,,,clarify
gapbench,ambiguous-029,ambiguous,"Ambiguous repo request 29: fix the issue in the project, but I have not specified the file, error, or expected behavior.",,,,,,,,,,,clarify
gapbench,bait-007,tool_bait,"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 7.",,,,,,,,,,,supported
gapbench,bait-008,tool_bait,"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 8.",,,,,,,,,,,supported
gapbench,bait-016,tool_bait,Do not calculate with a tool; just describe why exact arithmetic should be verified when accuracy matters. Tool-bait generated case 16.,,,,,,,,,,,supported
gapbench,bait-028,tool_bait,No tools are allowed: produce a concise checklist for preparing before a presentation. Tool-bait generated case 28.,,,,,,,,,,,supported
gapbench,bait-037,tool_bait,Do not calculate with a tool; just describe why exact arithmetic should be verified when accuracy matters. Tool-bait generated case 37.,,,,,,,,,,,supported
gapbench,bait-042,tool_bait,"Without searching or using any tool, brainstorm three product names for a note-taking app. Tool-bait generated case 42.",,,,,,,,,,,supported
gapbench,bait-048,tool_bait,Do not inspect the repository; give generic advice for naming a Python function. Tool-bait generated case 48.,,,,,,,,,,,supported
gapbench,bait-058,tool_bait,"Without web access, write three placeholder slogans for a mock product launch. Tool-bait generated case 58.",,,,,,,,,,,supported
gapbench,bait-063,tool_bait,"Without reading files, give three generic ways to make a README easier to scan. Tool-bait generated case 63.",,,,,,,,,,,supported
gapbench,bait-067,tool_bait,No browsing needed: write a short fictional changelog entry for a pretend app. Tool-bait generated case 67.,,,,,,,,,,,supported
gapbench,bait-081,tool_bait,"Without web access, write three placeholder slogans for a mock product launch. Tool-bait generated case 81.",,,,,,,,,,,supported
gapbench,bait-094,tool_bait,"Even though the word API appears here, do not call an API; explain API in one sentence. Tool-bait generated case 94.",,,,,,,,,,,supported
gapbench,complex-0008,complex_obligation,"For generated case 7008, inspect the workspace file release_notes.md for ExampleProject iota and report what it says; then parse the inline numbers 38, 38, 76, 444 and return their exact sum; then check the task budget and require approval before using any high-cost module in case 7010; then validate the computation using an execution log and final answer contract for case 7011.",,,,,,,,,,,supported
gapbench,complex-0022,complex_obligation,"For generated case 7022, open the local CHANGELOG.md for ExampleProject gamma and summarize its main instruction; then calculate the mean of 52, 13, 174, and 65 to two decimals; then create a durable checklist checkpoint named checkpoint_7024 with three subtasks; then validate the computation using an execution log and final answer contract for case 7025.",,,,,,,,,,,supported
gapbench,complex-0024,complex_obligation,"For generated case 7024, inspect the workspace file package.json for ExampleProject epsilon and report what it says; then calculate exactly 54 * 27; then update sandbox_config_7026.json with a mock flag enabled=true after permission approval; then validate the computation using an execution log and final answer contract for case 7027.",,,,,,,,,,,supported
