category,expected_failure_if_direct,expected_status,gold_obligations,gold_source,notes,oracle_minimal_harness,query,required_capabilities,risk_level,success_checker,tags,task_id,review_decision,reviewer_notes,revised_gold_obligations,revised_oracle_minimal_harness,revised_expected_status
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 1.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-001,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 2.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-002,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 3.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-003,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 4.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-004,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 5.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-005,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 6.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-006,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 7.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-007,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 8.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-008,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 9.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-009,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Write a concise birthday wish for a teammate, no browsing or tools needed. Case 10.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok""]",pure-010,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a friendly reminder message asking a teammate to upload their slides. Generated negative case 11.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-011,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 12.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-012,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 13.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-013,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],List three possible titles for a blog post about learning from small failures. Generated negative case 14.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-014,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Brainstorm three names for a small productivity app, no browsing or tools needed. Generated negative case 15.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-015,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 16.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-016,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Create a one-sentence mission statement for a student coding club. Generated negative case 17.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-017,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a short thank-you note to a mentor after a useful meeting. Generated negative case 18.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-018,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a calm one-paragraph apology for missing a group meeting. Generated negative case 19.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-019,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
